"Product","Product Description","Product Type","Product Category"
Cylinder-1903020614,"190 DN CL",Labour,Cylinder
Casing-1616610001,GEAR CASING,Production,Casing
Inner Head-1903058202,"320 IH L",Production,Inner Head
Cylinder-1903039202,"160 V CL",Production,Cylinder
Cylinder-1903037114,"95 DX CL",Labour,Cylinder
Cylinder-1901060306,"220 EX CL",Production,Cylinder
Cylinder-1901060961,"120 PT CL",Production,Cylinder
Cylinder-1903036102,"115 CL",Production,Cylinder
Cylinder-1903035002,"160 HP CL",Production,Cylinder
Cylinder-1903036002,"210 O CL",Production,Cylinder
Inner Head-1903057302,"280 IH L",Assembly,Inner Head
Inner Head-1901071756,"135 DN IH",Production,Inner Head
Cylinder-1903020814,"135 DX CL",Labour,Cylinder
Cylinder-1903036202,"210 C CL",Production,Cylinder
Cylinder-1901060764,"85 PT CL",Production,Cylinder
Cylinder-1903033902,"310 CL",Production,Cylinder
Cylinder-1901071825,"370 HN CL",Production,Cylinder
Cylinder-1903039314,"135 DN CL",Labour,Cylinder
Inner Head-1901074117,"190 DN IH",Production,Inner Head
Inner Head-1903059502,"220 IH L",Assembly,Inner Head
Cylinder-1901060996,"230 EX CL",Production,Cylinder
Cylinder-1901060619,"75 PT CL",Production,Cylinder
Cylinder-1903037802,"115 CL",Production,Cylinder
Cylinder-1901059883,"140 CL",Production,Cylinder
Inner Head-1901073827,"190 DNX IH",Production,Inner Head
Cylinder-1903033802,"185 LO CL",Production,Cylinder
Cylinder-1901060520,"250 CL",Production,Cylinder
Cylinder-1901072604,"100 HN CL",Production,Cylinder
Cylinder-1901060154,"185 EX CL",Production,Cylinder
Inner Head-1903057601,"370 IH L",Assembly,Inner Head
Cylinder-1903440202,"185 CL",Production,Cylinder
Distance Piece-1901002565,DIST PIECE,Production,Distance Piece
Inner Head-1901006723,"370 IH E",Production,Inner Head
Inner Head-1903057202,"470 IH L",Assembly,Inner Head
Cylinder-1901004267,"105 CL",Production,Cylinder
Inner Head-1901008774,"320 IH E",Production,Inner Head
Cylinder-1903039302,"115 PT CL",Production,Cylinder
Pix Head-1904092530,"6091 PIX",Production,Pix Head
Inner Head-1901006745,"220 IH E",Production,Inner Head
Pix Head-1904092534,"6091-1 PIX",Production,Pix Head
Cross Head-1901070205,HX X HEAD,Production,Cross Head
Cylinder-1901076515,"60 HN CL",Production,Cylinder
Pix Head-1904092500,"6062 PIX",Production,Pix Head
Casing-1291000007,CRANK CASE,Production,Casing
Spacer-1830036440,SPACER,Production,Spacer
Cylinder-1901060518,"140 HN CL",Production,Cylinder
Cylinder-X903080302,"250 INT CL",Production,Cylinder
Inner Head-1901012041,"185 IH E",Production,Inner Head
Pix Head-1904092501,"6063 PIX",Production,Pix Head
Cylinder-1901060723,"115 PT CL",Production,Cylinder
Silencer-1621005708,SILENCER,Production,Silencer
Cylinder-1901060390,"320 HN CL",Production,Cylinder
Inner Head-1903058402,"185 IH L",Assembly,Inner Head
Pix Head-1904092520,"6081 PIX",Production,Pix Head
Silencer-1621005702,SILENCER,Production,Silencer
Cross Head-1901070206,HN X HEAD,Production,Cross Head
Cross Head-1901070207,HNX X HEAD,Production,Cross Head
Cylinder-3310112500,TEX 9 CL,Production,Cylinder
Cylinder-C8533836,S CL,Production,Cylinder
Cylinder-3303005339,"4608 CL",Production,Cylinder
Cylinder-3303005338,"4611 CL",Production,Cylinder
Cylinder-3310126900,P60 CL,Production,Cylinder
Cylinder-3310126700,P90 CL,Production,Cylinder
Handle-C5261417,HND EXT,Production,Handle
Cylinder-3310128200,TEX 12 CL,Production,Cylinder
Cylinder-C9129856,T CL,Production,Cylinder
Cylinder-C9128857,"3"" CL",Production,Cylinder
Cylinder-C8568859,TEX 7 CL,Production,Cylinder
Cylinder-S8568424,CP22 CL,Labour,Cylinder
Cylinder-C8532835,R CL,Production,Cylinder
Cylinder Assembly-1903909195,"160 CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-1903909395,"115 CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-1903909295,"210 O CL ASSLY",Assembly,Cylinder Assembly
Cross Head-1901070206 LNK,HN X HEAD,Production,Cross Head
Cylinder Assembly-1903908995,"185 CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-1903909095,"250 CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-1903908895,"310 CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-1903909895,"220 LO CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-1903925295,"85 PT CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-1903910095,"185 LO CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-1903925895,"120 PT CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-1903920195,"210 C CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-1903925095,"250 CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-1903924895,"140 CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-1903926095,"220 EX CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-1903920295,"185 CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-1903925195,"160 CL ASSLY",Assembly,Cylinder Assembly
Eh Assembly-1VYN401001-EH,TRIPPING SPRG ASSLY,Assembly,Eh Assembly
LHP-3363104775,MB750 LHP,Production,LHP
Gear Assembly-DYA0308134H001,GEAR ASSLY,Assembly,Gear Assembly
Cylinder-3360164637,TEX 20 CL,Labour,Cylinder
Gear Assembly-DYA0308134H003,GEAR ASSLY,Assembly,Gear Assembly
Cylinder-20C94229/517,"100 CL",Labour,Cylinder
Wheel-20023,"120T SENSOR WHEEL",Labour,Wheel
Gear Assembly-596084801,BELT TGHT COMPLETE,Assembly,Gear Assembly
Frame Assembly-DYA0311114H001,"245 KV FRAME",Assembly,Frame Assembly
Gear Assembly-DYA0308330H006,GEAR ASSLY,Assembly,Gear Assembly
Shaft-0SP10728,WORM SHAFT,Production,Shaft
Valve Assembly-2650945393,VALVE DRILL CONTROL,Assembly,Valve Assembly
Gear Assembly-DYA0308330H001,GEAR ASSLY,Assembly,Gear Assembly
Wheel-0SP10730,WORM WHEEL,Production,Wheel
Shaft-594450701,EXC SHAFT,Production,Shaft
Wheel-0SP10068,CI WORM WHEEL,Production,Wheel
Shaft-0SP10729,WORM SHAFT,Production,Shaft
lower frame Beam-594141301,L F BEAM,Production,lower frame Beam
Cylinder-D8515882,"4003 CL",Production,Cylinder
Gear Assembly-DYA0308134H002,GEAR ASSLY,Assembly,Gear Assembly
Gear Assembly-DYA0308330H002,GEAR ASSLY,Assembly,Gear Assembly
Piston-3161900064,BIG PISTON,Labour,Piston
Cylinder-20C94229/516,"200 CL",Labour,Cylinder
Cover-DYB0401834H001,COVER,Production,Cover
Lobe-1201000001507,LOBE,Labour,Lobe
Body-1201000001508,BODY,Labour,Body
Spindle-22REA020332P0001,SP M,Production,Spindle
Spindle-21VLD549099P001,SPND B,Production,Spindle
Casing-1/137,CRANK CASE,Labour,Casing
Gear Assembly-546243501,ECC GEAR BOX COMPLETE,Assembly,Gear Assembly
Frame Assembly-DYA0321735H001,"420 KV FRAME",Assembly,Frame Assembly
LHP-3363102127,MB1500 LHP,Production,LHP
Pulse Vesel-103/312,PULSE VESEL,Labour,Pulse Vesel
Rotor-1201000001516,ROTOR,Labour,Rotor
Rotor-1201000001515,ROTOR,Labour,Rotor
Head-1201000001503,HEAD 1,Labour,Head
Head-1201000001506,HEAD 2,Labour,Head
Bracket-1201000001502,BRACKET,Labour,Bracket
Cylinder-33001844,"320 CL",Production,Cylinder
Cross Head-33235100,CROSS HEAD,Production,Cross Head
Gear-33698060,PINION GEAR,Production,Gear
Guide-42GHV312308P0001,GUIDE,Production,Guide
Cylinder-5AA2I8030000,INJ COR CL,Labour,Cylinder
Support Stand-5A62A0139200,S STAND,Labour,Support Stand
Support Stand-5A62A0138100V,S STAND,Labour,Support Stand
Cylinder Assembly-61901073944,"110 HN CL ASSLY",Assembly,Cylinder Assembly
Pulse Vesel-103/308,PULSE VESEL,Labour,Pulse Vesel
